"X","Y","DateTime"
"621.2","290.1","236412198289"
"616.5","292.0","236412206602"
"616.3","292.6","236412215007"
"610.0","291.1","236412223147"
"614.0","286.1","236412231613"
"616.7","265.9","236412239907"
"616.7","265.9","236412248154"
"615.1","294.7","236412256667"
"615.2","292.5","236412264897"
"612.0","298.0","236412273459"
"618.5","256.7","236412281632"
"614.5","276.5","236412289880"
"619.5","283.8","236412298236"
"615.5","277.6","236412306808"
"618.7","281.8","236412314944"
"602.2","283.5","236412323322"
"592.0","272.7","236412331540"
"579.3","261.2","236412339874"
"579.5","257.3","236412348178"
"584.1","261.4","236412356550"
"587.6","263.6","236412365020"
"587.4","260.1","236412373204"
"588.8","260.6","236412381522"
"588.0","262.1","236412389842"
"591.3","266.0","236412398253"
"588.4","265.3","236412406533"
"584.9","265.9","236412415143"
"583.7","265.5","236412423215"
"582.6","275.2","236412431548"
"588.3","276.3","236412439943"
"589.3","277.8","236412448242"
"604.9","274.4","236412456545"
"632.8","297.1","236412464768"
"640.3","279.4","236412473168"
"658.0","288.9","236412481500"
"659.5","287.6","236412498077"
"658.1","289.8","236412506585"
"654.4","283.4","236412515015"
"647.7","281.5","236412523258"
"648.5","288.3","236412531520"
"635.2","276.4","236412539825"
"639.1","282.9","236412548226"
"635.1","290.3","236412556529"
"631.6","285.3","236412573326"
"631.6","282.4","236412581642"
"641.6","287.9","236412589808"
"646.3","297.1","236412598221"
"645.3","301.9","236412606618"
"639.1","303.4","236412614958"
"636.9","293.2","236412623392"
"638.3","287.8","236412631793"
"643.7","290.2","236412639795"
"632.9","288.2","236412648237"
"635.1","271.6","236412656519"
"625.8","267.3","236412664859"
"618.5","259.4","236412673303"
"588.0","258.8","236412681621"
"539.7","224.2","236412698229"
"527.7","212.9","236412706645"
"529.3","214.9","236412723287"
"524.4","214.3","236412731748"
"527.1","216.5","236412740036"
"523.4","218.3","236412756692"
"537.9","215.6","236412781509"
"538.1","215.8","236412789929"
"538.8","205.3","236412806425"
"535.4","209.8","236412831553"
"534.2","207.7","236412839754"
"541.9","213.9","236412856430"
"542.5","216.2","236412864671"
"546.4","231.2","236412881340"
"537.3","217.0","236412898140"
"532.6","216.4","236412906596"
"544.0","229.1","236412923455"
"536.3","224.0","236412931588"
"537.1","226.7","236412948223"
"544.4","215.5","236412956780"
"541.0","223.5","236412973126"
"535.9","226.3","236412981359"
"544.7","222.4","236412998276"
"552.9","233.2","236413006404"
"549.7","233.8","236413023201"
"541.9","233.6","236413031384"
"545.3","232.4","236413039788"
"543.5","231.6","236413048149"
"556.7","249.0","236413056485"
"551.7","258.8","236413081492"
"553.0","299.3","236413098222"
"545.4","315.9","236413106339"
"549.2","320.3","236413131322"
"554.4","319.9","236413148024"
"553.4","303.5","236413156358"
"547.9","307.2","236413173005"
"550.1","312.3","236413181375"
"560.1","322.7","236413189702"
"562.6","316.8","236413198272"
"559.6","314.2","236413206516"
"541.0","298.4","236413223235"
"537.6","294.2","236413231481"
"546.5","326.3","236413248183"
"543.3","345.2","236413256582"
"531.8","326.4","236413273177"
"531.9","327.3","236413281496"
"529.9","331.7","236413298223"
"532.0","318.3","236413306571"
"542.8","331.2","236413314835"
"546.7","333.6","236413323180"
"550.7","329.1","236413331451"
"528.7","328.1","236413339780"
"525.9","329.2","236413348138"
