"X","Y","DateTime"
"459.5","839.6","236289664573"
"459.0","823.8","236289672949"
"460.6","830.3","236289681293"
"457.8","829.5","236289689543"
"453.6","846.1","236289697942"
"460.6","853.7","236289706274"
"460.2","829.8","236289714509"
"472.3","855.8","236289722942"
"484.0","863.4","236289731094"
"485.1","862.8","236289740121"
"466.8","828.4","236289747887"
"466.7","828.3","236289756111"
"440.7","844.0","236289764551"
"441.2","844.7","236289772803"
"436.8","847.4","236289781117"
"424.9","841.2","236289789595"
"422.5","838.3","236289797875"
"446.4","834.9","236289805981"
"464.0","825.8","236289814345"
"464.9","828.5","236289822635"
"464.7","828.3","236289830968"
"449.6","827.2","236289839609"
"451.0","825.7","236289847766"
"464.0","835.4","236289856180"
"479.0","831.8","236289864586"
"494.3","831.7","236289872842"
"499.0","830.9","236289881134"
"507.4","828.4","236289889577"
"515.5","830.7","236289897640"
"519.1","832.5","236289906154"
"514.6","831.4","236289914284"
"515.3","828.5","236289922777"
"510.3","825.6","236289930934"
"512.5","833.6","236289939447"
"511.6","836.1","236289947770"
"514.1","836.5","236289956213"
"512.0","831.6","236289964361"
"509.4","828.9","236289972679"
"512.1","831.0","236289980951"
"522.7","833.9","236289989553"
"524.6","845.0","236289997697"
"525.5","845.4","236290006274"
"536.3","860.0","236290014448"
"519.1","835.6","236290022871"
"515.1","835.0","236290031229"
"508.4","835.3","236290039628"
"502.4","824.9","236290047612"
"505.8","824.1","236290055933"
"517.4","832.6","236290064260"
"520.1","834.5","236290072833"
"516.9","832.1","236290089461"
"515.1","833.3","236290097693"
"508.2","833.3","236290106112"
"508.8","836.0","236290114331"
"508.2","834.6","236290122756"
"514.2","836.5","236290131245"
"514.2","836.3","236290139314"
"513.4","828.1","236290147617"
"514.3","831.4","236290155973"
"517.6","829.5","236290164386"
"504.1","811.2","236290172860"
"504.1","811.2","236290181148"
"514.5","834.4","236290189560"
"515.7","834.9","236290197712"
"512.4","836.4","236290206270"
"506.8","817.9","236290214612"
"520.3","846.3","236290222797"
"517.8","843.1","236290231168"
"519.7","843.3","236290239394"
"519.7","843.5","236290247844"
"518.4","843.7","236290256077"
"514.7","840.2","236290264507"
"515.1","837.2","236290272820"
"514.7","838.4","236290281274"
"513.9","841.5","236290289525"
"515.9","842.7","236290297810"
"510.8","843.5","236290306178"
"510.2","841.8","236290314443"
"506.9","838.6","236290322592"
"518.0","837.6","236290331075"
"516.9","839.3","236290339207"
"517.3","842.8","236290347552"
"508.4","843.0","236290355902"
"504.4","833.5","236290364263"
"506.0","826.7","236290372584"
"517.6","826.0","236290380862"
"527.0","837.6","236290389568"
"525.2","835.0","236290397773"
"521.3","832.0","236290406160"
"515.1","824.9","236290414568"
"513.4","832.7","236290422699"
"510.1","832.1","236290431064"
"512.5","818.8","236290439367"
"515.4","819.0","236290447777"
"515.4","819.0","236290456097"
"520.4","836.5","236290464595"
"510.7","809.7","236290472827"
"511.1","809.7","236290480926"
"513.5","809.0","236290489386"
"513.1","809.4","236290497856"
"513.1","809.4","236290506187"
"513.2","834.6","236290514383"
"516.2","837.6","236290522706"
"519.2","841.4","236290531120"
"518.5","842.5","236290539435"
"520.0","841.1","236290547677"
"519.9","838.4","236290556137"
"517.6","837.8","236290564241"
"513.4","828.9","236290572585"
"517.6","830.5","236290581251"
"523.1","830.7","236290589236"
"512.9","820.0","236290597727"
"512.9","820.0","236290605861"
"514.8","839.1","236290614352"
"514.8","838.5","236290622476"
"510.8","839.6","236290630795"
"517.3","840.8","236290639147"
"518.8","844.3","236290647566"
"524.7","842.1","236290656170"
"523.1","845.1","236290664368"
"520.6","845.4","236290672622"
"512.2","844.5","236290680859"
"515.3","838.3","236290689309"
"519.0","836.4","236290697720"
"528.9","838.6","236290705879"
"526.6","837.9","236290714363"
"525.8","840.7","236290722725"
"519.1","840.8","236290731078"
"524.1","845.2","236290739376"
"522.6","836.9","236290747543"
"521.8","836.5","236290756001"
"513.6","826.5","236290764249"
"514.5","836.6","236290772874"
"528.1","859.7","236290780906"
"520.3","841.3","236290789299"
"520.0","834.9","236290797584"
"522.8","838.2","236290805929"
"516.7","833.2","236290814362"
"506.5","818.6","236290822708"
"488.5","771.6","236290830907"
"494.6","755.6","236290839283"
"484.4","713.9","236290847641"
"483.3","699.3","236290855906"
"489.3","699.3","236290864365"
"492.7","703.9","236290872608"
"497.6","703.8","236290881015"
"500.6","704.3","236290889354"
"500.0","701.5","236290897487"
"497.7","698.1","236290905995"
"504.4","699.6","236290914522"
"502.2","705.1","236290922806"
"503.7","709.5","236290930929"
"496.0","706.0","236290939298"
"499.0","699.5","236290947534"
"500.6","701.4","236290955930"
"519.4","686.9","236290964133"
"504.3","742.9","236290972521"
"504.0","742.0","236290981008"
"504.0","742.0","236290989167"
"497.8","711.6","236290997646"
"502.8","715.2","236291006036"
"504.1","709.5","236291014134"
"505.3","704.8","236291022532"
"503.0","701.3","236291030856"
"508.1","708.9","236291039222"
"508.0","709.7","236291047498"
"510.6","713.1","236291055918"
"506.2","710.8","236291064450"
"501.3","677.4","236291072492"
"504.2","696.4","236291080990"
"505.5","697.4","236291089263"
"513.1","730.8","236291097717"
"510.4","737.5","236291106153"
"510.4","737.5","236291114138"
"500.6","686.4","236291122572"
"500.6","686.4","236291130958"
"502.5","687.1","236291139340"
"500.7","697.6","236291147691"
"504.2","682.2","236291155860"
"491.4","666.9","236291164120"
"518.9","741.2","236291172591"
"512.3","730.7","236291180969"
"507.9","712.2","236291189331"
"499.6","681.2","236291197583"
"499.6","681.2","236291206053"
"487.9","678.9","236291214395"
"488.2","680.5","236291222659"
"488.2","680.5","236291230857"
"492.6","694.5","236291239247"
"494.8","650.4","236291247465"
"494.3","650.4","236291255853"
"504.1","705.2","236291264320"
"501.5","718.7","236291272675"
"502.9","713.7","236291281050"
"501.2","711.1","236291289282"
"506.4","709.6","236291297654"
"505.3","713.2","236291305989"
"502.7","714.0","236291314318"
"489.5","687.9","236291322448"
"489.9","687.9","236291330883"
"495.8","691.0","236291339263"
"502.6","702.8","236291347530"
"498.7","699.7","236291355872"
"498.5","697.1","236291364107"
"499.9","708.2","236291372598"
"502.5","710.3","236291380720"
"498.0","708.2","236291389262"
"508.8","739.0","236291397708"
"518.4","746.2","236291405846"
"518.5","746.3","236291414124"
"502.8","685.5","236291422647"
"502.8","685.5","236291430951"
"504.8","689.3","236291439304"
"504.0","686.4","236291447474"
"503.9","686.5","236291455894"
"487.3","684.5","236291464087"
"498.2","715.2","236291472401"
"492.2","710.8","236291480928"
"498.7","708.4","236291489346"
"499.6","706.5","236291497723"
"505.2","710.5","236291506081"
"511.2","714.9","236291514046"
"509.1","715.6","236291522553"
"509.0","693.9","236291530948"
"509.1","720.8","236291539241"
"499.0","691.4","236291547457"
"499.0","691.4","236291556009"
"506.7","693.7","236291564112"
"503.8","692.7","236291572605"
"503.8","692.7","236291580799"
"494.8","686.9","236291589045"
"502.7","715.1","236291597428"
"504.3","717.1","236291605791"
"509.0","718.7","236291614349"
"507.0","715.4","236291622628"
"503.5","690.9","236291630800"
"507.0","700.7","236291639215"
"499.1","565.0","236291647444"
"481.3","430.7","236291705860"
"495.0","382.1","236291714165"
"491.1","350.4","236291722596"
"494.2","336.8","236291730739"
"490.3","344.1","236291739340"
"500.1","356.3","236291747739"
"500.1","359.0","236291755899"
"503.5","321.1","236291764118"
"494.8","325.5","236291772710"
"494.8","325.5","236291780709"
"504.3","367.0","236291789271"
"511.0","374.2","236291797393"
"509.2","373.4","236291805827"
"503.3","375.4","236291814074"
"502.1","375.3","236291822585"
"499.3","380.1","236291830991"
"501.9","354.1","236291839314"
"498.1","354.3","236291847395"
"501.8","351.3","236291855954"
"498.8","386.1","236291864108"
"502.1","388.1","236291872348"
"503.7","387.9","236291880820"
"511.0","359.0","236291889201"
"513.9","479.7","236292014167"
"525.2","434.8","236292022632"
"530.3","466.9","236292030825"
"536.2","455.4","236292039273"
"552.3","522.6","236292047633"
"556.2","523.5","236292055879"
"548.3","497.7","236292064056"
"548.3","496.6","236292072394"
"546.9","498.4","236292080777"
"547.5","505.9","236292089077"
"548.5","477.9","236292097527"
"548.3","497.2","236292105882"
"539.8","439.4","236292114116"
"540.0","500.2","236292122438"
"537.8","489.3","236292130630"
"546.6","495.1","236292139151"
"545.7","466.5","236292147394"
"545.7","466.5","236292155754"
"541.4","464.0","236292164158"
"547.6","497.7","236292172564"
"546.1","494.9","236292180890"
"535.6","495.7","236292189333"
"532.3","490.8","236292197331"
"539.3","497.9","236292205649"
"533.2","461.8","236292213995"
"555.1","538.6","236292222414"
"547.5","527.7","236292230762"
"547.5","527.7","236292239115"
"540.7","497.0","236292247434"
"543.5","501.2","236292255810"
"554.5","511.2","236292264192"
"560.1","527.6","236292272480"
"565.3","515.1","236292280664"
"523.0","689.0","236292289143"
"527.2","794.6","236292297429"
"631.8","834.6","236292305806"
"653.9","857.6","236292314322"
"658.5","851.7","236292322479"
"658.5","851.7","236292330801"
"656.5","859.3","236292339149"
"654.6","857.9","236292347342"
"652.6","858.2","236292355905"
"653.3","858.5","236292364215"
"655.4","854.1","236292372416"
"652.0","852.0","236292380865"
"655.7","837.1","236292389250"
"650.3","841.4","236292397380"
"650.3","841.4","236292405734"
"652.3","853.6","236292413984"
"652.0","852.1","236292422663"
"645.8","835.2","236292439141"
"643.1","832.3","236292447557"
"643.1","832.3","236292455719"
"633.3","850.7","236292464212"
"640.4","854.6","236292472653"
"649.8","848.4","236292480632"
"644.6","843.2","236292489231"
